Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Kode_Bahasa,Format_Buku,Ebook,Penerbit
7453,1416916326,Same Sex in the City,"[Lauren  Levin, Lauren Blitzer, Sam Bassett]",2006,386,3.57,250,37,en-US,Paperback,FALSE,Gallery Books
7454,743456815,Sex and the City: Kiss and Tell,"[Amy Sohn, Sarah Jessica Parker]",2002,86,4.01,160,6,en-US,Hardcover,FALSE,Pocket Books
7455,446617687,Sex and the City,[Candace Bushnell],2006,44486,3.4,304,1374,,Paperback,FALSE,Grand Central Publishing
7456,753509253,Manhattan Dating Game: An Unofficial & Unauthorised Guide to Every Episode of Sex & the City,[Jim Smith],2004,6,3.44,372,0,,Paperback,FALSE,Virgin Publishing
7458,1842229303,Sex in the City,[Lisa Sussman],2003,28,3.64,320,0,,Paperback,FALSE,Carlton Publishing Group
7460,007141228X,Security Analysis: The Classic 1940 Edition,"[Benjamin Graham, David L. Dodd]",2002,244,4.34,880,19,,Hardcover,FALSE,McGraw-Hill Education
7461,1930974388,Abrupt Rural,[David Dodd Lee],2004,22,4.68,52,1,,Paperback,FALSE,New Issues Poetry and Prose
7463,932826555,Downsides of Fish Culture,"[David Dodd Lee, Charles D'Ambrosio]",1997,27,4.56,63,3,,Paperback,FALSE,New Issues Poetry & Prose
7464,1884800416,Arrow Pointing North,[David Dodd Lee],2002,21,4.57,68,1,,Paperback,FALSE,Four Way Books
7466,1884800505,Shade 2004,[David Dodd Lee],2003,9,4.44,276,0,,Paperback,FALSE,Four Way Books
7469,70244960,Security Analysis: The Classic 1934 Edition Security Analysis: The Classic 1934 Edition,"[Benjamin Graham, David Dodd]",1996,75,4.34,725,6,,Hardcover,FALSE,McGraw-Hill
7470,415289203,Initiation in Ancient Greek Rituals and Narratives: New Critical Perspectives,"[David Brooks Dodd, Christopher A. Faraone]",2003,2,4,294,0,,Hardcover,FALSE,Routledge
7472,130195731,Introduction To Electronic Communication,[David E. Dodds],2005,0,0,400,0,,Paperback,FALSE,Prentice Hall
7473,313301417,The Grateful Dead and the Deadheads: An Annotated Bibliography,"[David G. Dodd, Robert G. Weiner]",1997,4,4.75,448,1,,Hardcover,FALSE,Greenwood
7475,974114804,Activity-Based Costing for Printers: An Implementation Guide,"[G. David Dodd, William K. Lavelle]",2003,0,0,152,0,,Hardcover,FALSE,Point Balance Pub.
7477,375502262,Human Traces,[Sebastian Faulks],2006,38,3.63,563,12,en-US,Hardcover,FALSE,Random House (NY)
7478,375727442,The Fatal Englishman: Three Short Lives,[Sebastian Faulks],2002,532,3.67,336,28,,Paperback,FALSE,Vintage
7479,375704566,On Green Dolphin Street,[Sebastian Faulks],2003,3074,3.55,368,190,,Paperback,FALSE,Vintage
7480,375704531,The Girl at the Lion d'Or,[Sebastian Faulks],1999,4435,3.58,246,255,,Paperback,FALSE,Vintage
7481,91797071,Pistache,[Sebastian Faulks],2006,168,3.38,160,19,,Hardcover,FALSE,Hutchinson
7482,99458268,Human Traces,[Sebastian Faulks],2006,3425,3.63,793,267,eng,Paperback,FALSE,Vintage
7483,826453236,Sebastian Faulks's Birdsong: A Reader's Guide,[Pat Wheeler],2002,82,4.17,94,4,,Paperback,FALSE,Bloomsbury Academic
7484,99437562,Sebastian Faulks: The Essential Guide,"[Margaret Reynolds, Jonathan Noakes]",2002,4,3.2,198,0,,Paperback,FALSE,Random House UK
7486,1404801286,"Row, Row, Row the Boats: A Fun Song about George Washington Crossing the Delaware","[Michael Dahl, Sandra D'Antonio]",2003,1,4.33,24,0,,Hardcover,FALSE,Picture Window Books
7487,972501304,Washington Crossing Inn Cookbook: Seasonal Recipes From The Historic Landmark Restaurant,[John Oliano],2002,1,3,221,0,,Hardcover,FALSE,S.N.
7488,141591317X,"Queen Bees And Wannabes: Helping Your Daughter Survive Cliques, Gossip, Boyfriends, And Other Realities Of Adolescence {Unabridged Audio}","[Rosalind Wiseman, Lee Adams]",2004,1,3.79,8,0,eng,Audio Cassette,FALSE,"Books on Tape, Inc."
7489,60977094,The Optimistic Child,[Martin E.P. Seligman],1996,776,4.01,336,94,,Paperback,FALSE,ReganBooks
7490,71459480,Raising an Optimistic Child: A Proven Plan for Depression-Proofing Young Children--For Life,"[Bob Murray, Alicia Fortinberry]",2006,26,3.78,239,6,,Paperback,FALSE,McGraw-Hill Education
7492,1884834604,The Optimistic Classroom: Creative Ways to Give Children Hope,"[Deborah  Hewitt, Sandra Heidemann, Stephanie Roth]",2005,1,4,244,0,,Paperback,FALSE,Redleaf Press
7493,375705244,Founding Brothers: The Revolutionary Generation,[Joseph J. Ellis],2002,36882,3.92,290,1585,eng,Paperback,FALSE,BALLANTINE BOOKS
7494,446611085,Suzanne's Diary for Nicholas,[James Patterson],2003,129449,4.16,289,4196,eng,Mass Market Paperback,FALSE,Vision
7495,747267294,Suzanne's Diary for Nicholas,[James Patterson],2002,318,4.16,310,42,,Paperback,FALSE,Headline
7498,044679483X,Suzanne's Diary For Nicholas,[James Patterson],2005,5,4.16,289,3,,Paperback,FALSE,Warner Books (NY)
7501,349107866,Hitler's Willing Executioners: Ordinary Germans and the Holocaust,[Daniel Jonah Goldhagen],1997,81,3.68,634,6,en-GB,Paperback,FALSE,Abacus
